SSID,BSSID,MANUFACTURER,SIGNAL,High Signal,RSSI,High RSSI,AUTHENTICATION,ENCRYPTION,RADIO TYPE,CHANNEL,BTX,OTX,NETWORK TYPE,LABEL,LATITUDE,LONGITUDE,SATELLITES,HDOP,ALTITUDE,HEIGHT OF GEOID,SPEED(km/h),SPEED(MPH),TRACK ANGLE,DATE(UTC),TIME(UTC)
"KT_GiGA_5G_Hollys",88:3C:1C:40:19:1A,"MERCURY CORPORATION",86,86,-55,-52,WPA2-Personal,CCMP,802.11ac,36,"6,9,12,18,24,36,48,54","",Infrastructure,"Unknown",0.0000000,0.0000000,00,0,0,0,0,0,0,2023-05-16,05:29:06.164
"KT_GiGA_5G_Hollys",88:3C:1C:40:19:1A,"MERCURY CORPORATION",86,86,-55,-52,WPA2-Personal,CCMP,802.11ac,36,"6,9,12,18,24,36,48,54","",Infrastructure,"Unknown",0.0000000,0.0000000,00,0,0,0,0,0,0,2023-05-16,05:29:07.179
"KT_GiGA_5G_Hollys",88:3C:1C:40:19:1A,"MERCURY CORPORATION",86,86,-55,-52,WPA2-Personal,CCMP,802.11ac,36,"6,9,12,18,24,36,48,54","",Infrastructure,"Unknown",0.0000000,0.0000000,00,0,0,0,0,0,0,2023-05-16,05:29:08.197
"KT_GiGA_5G_Hollys",88:3C:1C:40:19:1A,"MERCURY CORPORATION",85,86,-56,-52,WPA2-Personal,CCMP,802.11ac,36,"6,9,12,18,24,36,48,54","",Infrastructure,"Unknown",0.0000000,0.0000000,00,0,0,0,0,0,0,2023-05-16,05:29:09.622
"KT_GiGA_5G_Hollys",88:3C:1C:40:19:1A,"MERCURY CORPORATION",85,86,-56,-52,WPA2-Personal,CCMP,802.11ac,36,"6,9,12,18,24,36,48,54","",Infrastructure,"Unknown",0.0000000,0.0000000,00,0,0,0,0,0,0,2023-05-16,05:29:11.241
"KT_GiGA_5G_Hollys",88:3C:1C:40:19:1A,"MERCURY CORPORATION",85,86,-55,-52,WPA2-Personal,CCMP,802.11ac,36,"6,9,12,18,24,36,48,54","",Infrastructure,"Unknown",0.0000000,0.0000000,00,0,0,0,0,0,0,2023-05-16,05:29:13.200
"KT_GiGA_5G_Hollys",88:3C:1C:40:19:1A,"MERCURY CORPORATION",85,86,-55,-52,WPA2-Personal,CCMP,802.11ac,36,"6,9,12,18,24,36,48,54","",Infrastructure,"Unknown",0.0000000,0.0000000,00,0,0,0,0,0,0,2023-05-16,05:29:14.622
"KT_GiGA_5G_Hollys",88:3C:1C:40:19:1A,"MERCURY CORPORATION",83,86,-55,-52,WPA2-Personal,CCMP,802.11ac,36,"6,9,12,18,24,36,48,54","",Infrastructure,"Unknown",0.0000000,0.0000000,00,0,0,0,0,0,0,2023-05-16,05:29:17.070
"KT_GiGA_5G_Hollys",88:3C:1C:40:19:1A,"MERCURY CORPORATION",83,86,-55,-52,WPA2-Personal,CCMP,802.11ac,36,"6,9,12,18,24,36,48,54","",Infrastructure,"Unknown",0.0000000,0.0000000,00,0,0,0,0,0,0,2023-05-16,05:29:18.531
"KT_GiGA_5G_Hollys",88:3C:1C:40:19:1A,"MERCURY CORPORATION",84,86,-55,-52,WPA2-Personal,CCMP,802.11ac,36,"6,9,12,18,24,36,48,54","",Infrastructure,"Unknown",0.0000000,0.0000000,00,0,0,0,0,0,0,2023-05-16,05:29:20.529
"KT_GiGA_5G_Hollys",88:3C:1C:40:19:1A,"MERCURY CORPORATION",84,86,-55,-52,WPA2-Personal,CCMP,802.11ac,36,"6,9,12,18,24,36,48,54","",Infrastructure,"Unknown",0.0000000,0.0000000,00,0,0,0,0,0,0,2023-05-16,05:29:21.986
"KT_GiGA_5G_Hollys",88:3C:1C:40:19:1A,"MERCURY CORPORATION",86,86,-56,-52,WPA2-Personal,CCMP,802.11ac,36,"6,9,12,18,24,36,48,54","",Infrastructure,"Unknown",0.0000000,0.0000000,00,0,0,0,0,0,0,2023-05-16,05:29:24.114
"KT_GiGA_5G_Hollys",88:3C:1C:40:19:1A,"MERCURY CORPORATION",86,86,-56,-52,WPA2-Personal,CCMP,802.11ac,36,"6,9,12,18,24,36,48,54","",Infrastructure,"Unknown",0.0000000,0.0000000,00,0,0,0,0,0,0,2023-05-16,05:29:25.841
